,Unnamed: 0,id,BuildingID,Region_ID,Height,Population,AffProb,FataRate
0,0,1,1,1,3,10,0.0,0.0
1,1,2,2,1,5,10,0.0,0.0
2,2,3,3,1,5,10,0.99604192,0.6591346938368001
3,3,4,4,1,5,0,0.999999999948925,0.6717696686011055
4,4,5,5,1,5,87,0.9999160259019126,0.5772907198498094
5,5,6,6,1,5,0,0.0,0.0
6,6,7,7,5,0,0,0.0,0.0
7,7,8,8,5,0,0,0.0,0.0
8,8,9,9,5,0,0,0.0,0.0
9,9,10,10,1,5,0,0.97435,0.0
10,10,11,11,1,5,0,0.0,0.0
11,11,12,12,1,5,0,0.0,0.0
12,12,13,13,1,5,0,0.0,0.0
13,13,14,14,1,5,0,0.9996591236529312,0.37755783654386066
14,14,15,15,1,5,0,0.0,0.0
15,15,16,16,1,5,0,0.0,0.0
